XRP,,,,LTC,,,,BTC,,,,ETH,,,,,,,,
Date,Open,,,Date,Open,,,Date,Open,,,Date,Open,,,,XRP,LTC,BTC,ETH
2/10/2018,0.947251,0.411848261,,2/10/2018,163.49,0.705702076,,2/10/2018,8720.08,0.617910744,,2/10/2018,882.47,1.167659045,,2/10/2018,0.411848261,0.705702076,0.617910744,1.167659045
2/11/2018,1.07,0.465217391,,2/11/2018,155.39,0.670738551,,2/11/2018,8616.13,0.610544777,,2/11/2018,859.29,1.136987933,,2/11/2018,0.465217391,0.670738551,0.610544777,1.136987933
2/12/2018,1.01,0.439130435,,2/12/2018,150.1,0.647904347,,2/12/2018,8141.43,0.576907215,,2/12/2018,817.51,1.081705833,,2/12/2018,0.439130435,0.647904347,0.576907215,1.081705833
2/13/2018,1.08,0.469565217,,2/13/2018,161.78,0.698320887,,2/13/2018,8926.72,0.632553394,,2/13/2018,869.29,1.150219646,,2/13/2018,0.469565217,0.698320887,0.632553394,1.150219646
2/14/2018,1.03,0.447826087,,2/14/2018,159.58,0.688824621,,2/14/2018,8599.92,0.609396125,,2/14/2018,844.28,1.11712713,,2/14/2018,0.447826087,0.688824621,0.609396125,1.11712713
2/15/2018,1.14,0.495652174,,2/15/2018,212.35,0.916605516,,2/15/2018,9488.32,0.672348748,,2/15/2018,923.73,1.222253096,,2/15/2018,0.495652174,0.916605516,0.672348748,1.222253096
2/16/2018,1.14,0.495652174,,2/16/2018,225.5,0.97336729,,2/16/2018,10135.7,0.718222531,,2/16/2018,934.79,1.236887372,,2/16/2018,0.495652174,0.97336729,0.718222531,1.236887372
2/17/2018,1.14,0.495652174,,2/17/2018,229.5,0.990633228,,2/17/2018,10207.5,0.723310327,,2/17/2018,944.75,1.250066159,,2/17/2018,0.495652174,0.990633228,0.723310327,1.250066159
2/18/2018,1.2,0.52173913,,2/18/2018,230.51,0.994992878,,2/18/2018,11123.4,0.788211618,,2/18/2018,973.35,1.28790886,,2/18/2018,0.52173913,0.994992878,0.788211618,1.28790886
2/19/2018,1.12,0.486956522,,2/19/2018,215.41,0.92981396,,2/19/2018,10552.6,0.747764346,,2/19/2018,921.67,1.219527363,,2/19/2018,0.486956522,0.92981396,0.747764346,1.219527363
2/20/2018,1.14,0.495652174,,2/20/2018,223.09,0.962964562,,2/20/2018,11231.8,0.795892915,,2/20/2018,943.57,1.248504816,,2/20/2018,0.495652174,0.962964562,0.795892915,1.248504816
2/21/2018,1.08,0.469565217,,2/21/2018,230.95,0.996892131,,2/21/2018,11372.2,0.805841754,,2/21/2018,894.13,1.183087223,,2/21/2018,0.469565217,0.996892131,0.805841754,1.183087223
2/22/2018,1.01,0.439130435,,2/22/2018,212.84,0.918720594,,2/22/2018,10660.4,0.755403126,,2/22/2018,849.26,1.123716524,,2/22/2018,0.439130435,0.918720594,0.755403126,1.123716524
2/23/2018,0.934176,0.406163478,,2/23/2018,194.19,0.838218155,,2/23/2018,9937.07,0.704147475,,2/23/2018,811.59,1.073872658,,2/23/2018,0.406163478,0.838218155,0.704147475,1.073872658
2/24/2018,0.997659,0.433764783,,2/24/2018,210.64,0.909224328,,2/24/2018,10287.7,0.728993353,,2/24/2018,861.59,1.140031227,,2/24/2018,0.433764783,0.909224328,0.728993353,1.140031227
2/25/2018,0.951977,0.413903043,,2/25/2018,208.13,0.898389951,,2/25/2018,9796.42,0.694180921,,2/25/2018,839.46,1.110749444,,2/25/2018,0.413903043,0.898389951,0.694180921,1.110749444
2/26/2018,0.943704,0.410306087,,2/26/2018,222.14,0.958863901,,2/26/2018,9669.43,0.685182325,,2/26/2018,845.28,1.118450302,,2/26/2018,0.410306087,0.958863901,0.685182325,1.118450302
2/27/2018,0.959302,0.417087826,,2/27/2018,221.71,0.957007813,,2/27/2018,10393.9,0.736518757,,2/27/2018,870.37,1.151648672,,2/27/2018,0.417087826,0.957007813,0.736518757,1.151648672
2/28/2018,0.944697,0.410737826,,2/28/2018,217.28,0.937885786,,2/28/2018,10687.2,0.757302192,,2/28/2018,877.93,1.161651847,,2/28/2018,0.410737826,0.937885786,0.757302192,1.161651847
3/1/2018,0.904131,0.393100435,,3/1/2018,203.12,0.876764363,,3/1/2018,10385,0.735888097,,3/1/2018,856.01,1.132647931,,3/1/2018,0.393100435,0.876764363,0.735888097,1.132647931
3/2/2018,0.926638,0.402886087,,3/2/2018,209.56,0.904562524,,3/2/2018,10977.4,0.77786596,,3/2/2018,871.76,1.15348788,,3/2/2018,0.402886087,0.904562524,0.77786596,1.15348788
3/3/2018,0.908786,0.395124348,,3/3/2018,213.84,0.923037079,,3/3/2018,11101.9,0.786688114,,3/3/2018,856.71,1.133574151,,3/3/2018,0.395124348,0.923037079,0.786688114,1.133574151
3/4/2018,0.906008,0.393916522,,3/4/2018,210.24,0.907497734,,3/4/2018,11497.4,0.81471351,,3/4/2018,856.19,1.132886101,,3/4/2018,0.393916522,0.907497734,0.81471351,1.132886101
3/5/2018,1.01,0.439130435,,3/5/2018,213.74,0.92260543,,3/5/2018,11532.4,0.817193634,,3/5/2018,866.85,1.146991108,,3/5/2018,0.439130435,0.92260543,0.817193634,1.146991108
3/6/2018,0.954448,0.414977391,,3/6/2018,210.51,0.908663185,,3/6/2018,11500.1,0.814904834,,3/6/2018,853.82,1.129750185,,3/6/2018,0.414977391,0.908663185,0.814904834,1.129750185
3/7/2018,0.924378,0.401903478,,3/7/2018,196.83,0.849613675,,3/7/2018,10803.9,0.765571633,,3/7/2018,816.27,1.0800651,,3/7/2018,0.401903478,0.849613675,0.765571633,1.0800651
3/8/2018,0.872508,0.379351304,,3/8/2018,185.7,0.8015712,,3/8/2018,9951.44,0.705165743,,3/8/2018,752.57,0.995779083,,3/8/2018,0.379351304,0.8015712,0.705165743,0.995779083
3/9/2018,0.826122,0.359183478,,3/9/2018,176.48,0.761773212,,3/9/2018,9414.69,0.667131276,,3/9/2018,702.2,0.929130941,,3/9/2018,0.359183478,0.761773212,0.667131276,0.929130941
3/10/2018,0.854872,0.371683478,,3/10/2018,188.11,0.811973928,,3/10/2018,9350.59,0.662589107,,3/10/2018,730.16,0.966126813,,3/10/2018,0.371683478,0.811973928,0.662589107,0.966126813
3/11/2018,0.795765,0.345984783,,3/11/2018,177.51,0.766219191,,3/11/2018,8852.78,0.627313955,,3/11/2018,685.31,0.906782576,,3/11/2018,0.345984783,0.766219191,0.627313955,0.906782576
