X,r0,r2,r3,r5,r7,r10,r12,r17,r18,r23,r25,r28,r30,r32,r33,count
281,0,2,,,7,,,,,,,,,,33,4
282,0,,,,,,,,,23,,,,,33,3
283,,2,,,7,,,,,,,,,,33,3
284,,,,5,,,,,,,,,,,,1
285,,,,,,,,,,,,,,,,0
286,,,,5,7,,,,18,,,,,,33,4
287,,,,,,,,,,,,,,,,0
288,,,,,,,,,,,,28,30,,,2
289,,,,,,,12,,,,,,,,33,2
290,0,,3,,,,,,,,,,,,,2
291,,,,,7,,,,,,,,,,,1
292,,2,,,,10,,,,,25,,,,,3
293,,,,5,,,,,,,,,,,,1
294,,,,,,,,,,,,,,,,0
295,,,,5,,,,,,,,,30,32,,3
296,,,,5,,,,,,23,,,,,,2
297,,,,,,,,,,,,,,,,0
298,,,,,,,,,,,,,,,,0
299,,,,,,,,,,23,,,30,32,33,4
300,,,,5,,,,,,,,,,,33,2
301,,,,,,,,17,,,,,30,,,2
302,0,,,,,,,,,,,28,30,,,3
303,,,3,,,10,,,,,,,,,,2
304,0,,,,,,,,,,,,,,,1
305,,,,,,,,17,,23,,,,,,2
306,,,,,7,,,,,,,,,32,,2
307,,,,,,,,,18,,,,,32,,2
308,,,,,,,,17,,,,,,,33,2
309,,,,5,,,,,,23,,,,,,2
310,0,,,,,,12,,,,,28,,,,3
311,,,,,,,,,,23,,,,,,1
312,0,,3,,,10,,,,,,,30,,33,5
313,0,,,,,,,,18,,,,,,33,3
314,,,,,7,,,,,,,28,,,,2
315,,,,,,,,,,,,,,,,0
316,0,,,,,,,,,,,,,,,1
317,0,,,,,,,,,,,,30,,,2
318,,,,,,,12,,,,,28,,,,2
319,,,,,,,,,,,25,,,,33,2
320,,2,3,,,,12,,,,,,,,,3
321,0,,3,,,,,,,,,28,,,,3
322,,,,,,,,,,23,,,,,,1
323,,,,,,,,17,,,,,,,,1
324,,,,,,,12,,,,,28,,,,2
325,,,,5,,,,,,,,,,,33,2
326,,,,5,,,,,,,,,,,,1
327,,,,,7,,,,,,25,,,,,2
328,0,,3,,,,,,,,25,,,,,3
329,,,,,,10,,17,,,,28,,,,3
330,,,,,,,,17,,,,,,32,33,3
331,,,,,,,,,,,,,,,,0
332,,,3,,7,,,,18,23,,,,,,4
333,0,,,,,,12,,,,,,,32,,3
334,0,,,,7,10,,,,,,,,,,3
335,,,,5,,,,,18,23,,,,,,3
336,,2,,,,10,,,,,,,,,,2
337,,,,,,,12,,18,,25,,30,,,4
338,0,,3,,,,,,,,,,,,,2
339,,,,,,,12,,,23,25,,,,33,4
340,,2,,,,,12,,,,25,,,,,3
341,,,,,,,,17,,,,,,,33,2
342,,,,,,10,,,,,,,,,,1
343,,,,,,10,12,,,23,,,,32,33,5
344,,2,,5,,,,,,,,,,,,2
345,,,3,,,,,,,,,,,,33,2
346,,2,,,,,,,,,,,,,,1
347,0,,,,,,,,,,,28,,32,,3
348,,,,,,,,,,,,,,,,0
349,,,,,,,12,,,,,,,,,1
350,,,,,,,,,18,,,,30,,,2
351,,,,,,,,,,23,,,,,,1
352,,,,,,,,,,,,,30,,,1
353,,,,5,,,12,,,,,,,,,2
354,,,,,7,,12,,,,,28,,,,3
355,,,,,,10,,,,,,28,30,,,3
356,0,,,,,,,,,,,,,,,1
357,,,,,7,,,,,,,,,,33,2
358,,,,5,,,,,,,,,,,,1
359,0,2,,,,,,,,,25,,,,,3
360,,,3,,,,,,18,,,,,,,2
361,,,,,,,,,,,,,30,32,,2
362,,,,,,10,,,,23,,,,,,2
363,,,,5,,,,,,23,,,,32,,3
364,,,,,,,,17,,,,,,,,1
365,0,,,,,,,,,,,,30,,,2
366,,2,,,,,,17,,,,,,,,2
367,,,,,,,,,,,,28,,32,33,3
368,,,,,,,,,,23,,,,,33,2
369,0,,,,,10,,,,,,,,,33,3
370,,2,,,,,,,,,,,,,,1
371,,,,,,,,,,,,,,,,0
372,,,3,,,,12,,,,,,,,,2
373,,,,,,,,,18,,,,30,,,2
374,0,,,5,,,,,,,,,,,,2
375,,,,5,,,,,,23,,,,,,2
376,,,3,,,,,,,,,,,32,,2
377,,,,,,10,,,,,,,,,,1
378,,,3,,,,,,,,,,30,,,2
379,,,,,7,,,17,18,,,,,,,3
380,,2,,,7,,,17,,,,,,,33,4
381,,,,,,,,,,23,,,,,33,2
382,,2,,,,,,,,,,,,,,1
383,,,3,,7,10,,,,,,,,,33,4
384,,,,5,7,,,,18,23,,,,32,,5
385,,,,,,10,,,,,,28,,32,33,4
386,,,,,,,,,,23,,,,,,1
387,,2,,,,,,17,,,,,,,,2
388,,,,,,,12,,,,,28,,,,2
