Date,Open,High,Low,Close
2018-3-19,0.672126,0.74908,0.640012,0.74908
2018-3-18,0.634466,0.677591,0.548815,0.658777
2018-3-17,0.687745,0.689434,0.626709,0.637856
2018-3-16,0.699063,0.71178,0.674463,0.68926
2018-3-15,0.702913,0.730673,0.643845,0.697269
2018-3-14,0.789569,0.79908,0.67601,0.701902
2018-3-13,0.798451,0.805729,0.778471,0.789711
2018-3-12,0.832127,0.838328,0.787882,0.801048
2018-3-11,0.795765,0.840407,0.775737,0.831122
2018-3-10,0.854872,0.860443,0.793736,0.796627
2018-3-9,0.826122,0.856182,0.751485,0.849761
2018-3-8,0.872508,0.888562,0.825387,0.825857
2018-3-7,0.924378,0.930659,0.824895,0.87121
2018-3-6,0.954448,0.991306,0.916863,0.922887
2018-3-5,1.01,1.08,0.956116,0.959368
2018-3-4,0.906008,1.03,0.895618,1.01
2018-3-3,0.908786,0.926512,0.903604,0.907804
2018-3-2,0.926638,0.933912,0.902286,0.910144
2018-3-1,0.904131,0.953796,0.89063,0.928347
2018-2-28,0.944697,0.95555,0.903787,0.904583
2018-2-27,0.959302,0.97258,0.944977,0.947305
2018-2-26,0.943704,0.970906,0.913403,0.956859
2018-2-25,0.951977,0.967597,0.915279,0.943487
2018-2-24,0.997659,1.01,0.929456,0.954402
2018-2-23,0.934176,1.03,0.898286,0.998855
2018-2-22,1.01,1.05,0.922458,0.941788
2018-2-21,1.08,1.1,0.998881,1.02
2018-2-20,1.14,1.17,1.08,1.09
2018-2-19,1.12,1.17,1.12,1.14
2018-2-18,1.2,1.21,1.09,1.12
2018-2-17,1.14,1.22,1.13,1.2
2018-2-16,1.14,1.15,1.11,1.14
2018-2-15,1.14,1.16,1.11,1.15
2018-2-14,1.03,1.17,1.02,1.14
2018-2-13,1.08,1.08,1.01,1.03
2018-2-12,1.01,1.11,1.01,1.08
2018-2-11,1.07,1.08,0.929767,1.0
2018-2-10,0.947251,1.3,0.947251,1.07
2018-2-9,0.79714,0.954428,0.77154,0.954428
2018-2-8,0.729252,0.80697,0.722611,0.805263
2018-2-7,0.774576,0.805478,0.70695,0.723895
2018-2-6,0.705121,0.786004,0.58836,0.776393
2018-2-5,0.825943,0.833866,0.675827,0.691799
2018-2-4,0.913418,0.952947,0.796821,0.815703
2018-2-3,0.891992,0.974799,0.761635,0.924043
2018-2-2,0.960642,0.960642,0.635185,0.884784
2018-2-1,1.16,1.16,0.930378,0.96253
2018-1-31,1.13,1.19,1.04,1.16
2018-1-30,1.33,1.33,1.13,1.14
2018-1-29,1.4,1.41,1.3,1.32
2018-1-28,1.22,1.44,1.22,1.4
2018-1-27,1.22,1.24,1.19,1.22
2018-1-26,1.31,1.33,1.14,1.22
2018-1-25,1.36,1.38,1.29,1.31
2018-1-24,1.35,1.42,1.31,1.36
2018-1-23,1.35,1.43,1.2,1.34
2018-1-22,1.39,1.43,1.16,1.36
2018-1-21,1.58,1.58,1.34,1.38
2018-1-20,1.56,1.63,1.5,1.58
