Date,Open,High,Low,Close
2018-3-12,189.02,193.34,175.88,178.23
2018-3-11,177.51,193.48,172.47,188.95
2018-3-10,188.11,194.65,176.54,177.73
2018-3-9,176.48,189.91,160.43,187.17
2018-3-8,185.7,188.15,176.17,176.51
2018-3-7,196.83,199.28,175.65,185.84
2018-3-6,210.51,210.51,193.16,196.6
2018-3-5,213.74,215.98,209.25,211.18
2018-3-4,210.24,214.12,205.36,213.8
2018-3-3,213.84,217.76,209.54,210.64
2018-3-2,209.56,213.13,204.88,212.56
2018-3-1,203.12,214.7,201.54,209.75
2018-2-28,217.28,223.51,202.71,202.9
2018-2-27,221.71,224.21,215.84,216.6
2018-2-26,222.14,234.42,218.74,220.96
2018-2-25,208.13,225.55,202.37,220.47
2018-2-24,210.64,220.31,197.88,209.42
2018-2-23,194.19,216.13,184.07,209.31
2018-2-22,212.84,222.77,191.81,195.31
2018-2-21,230.95,235.41,208.93,213.35
2018-2-20,223.09,253.9,222.51,232.85
2018-2-19,215.41,226.97,215.38,223.06
2018-2-18,230.51,232.64,214.46,215.74
2018-2-17,229.5,233.45,225.6,229.47
2018-2-16,225.5,236.09,212.33,230.12
2018-2-15,212.35,237.88,211.17,225.43
2018-2-14,159.58,218.23,159.58,213.36
2018-2-13,161.78,162.37,153.51,159.55
2018-2-12,150.1,163.35,150.1,161.57
2018-2-11,155.39,155.73,142.61,148.99
2018-2-10,163.49,169.33,149.14,155.59
2018-2-9,149.73,163.98,142.59,163.95
2018-2-8,138.34,151.08,138.34,149.47
2018-2-7,142.48,157.9,131.52,138.2
2018-2-6,127.52,146.11,106.94,142.99
2018-2-5,148.73,153.52,118.15,125.33
2018-2-4,160.38,173.8,139.69,148.03
2018-2-3,131.4,165.56,121.17,160.25
2018-2-2,142.56,142.56,105.35,131.38
2018-2-1,163.68,165.81,131.55,142.3
2018-1-31,165.3,167.07,157.65,163.35
2018-1-30,181.44,181.52,163.03,165.28
2018-1-29,193.75,194.39,179.23,181.66
2018-1-28,181.42,194.68,181.42,193.87
2018-1-27,176.66,183.15,174.88,180.89
2018-1-26,179.82,182.89,167.08,176.73
2018-1-25,181.56,185.42,176.35,180.27
2018-1-24,178.43,186.28,173.72,179.99
2018-1-23,180.28,186.31,165.73,177.81
2018-1-22,191.79,195.25,166.88,180.01
2018-1-21,211.24,211.24,184.64,190.42
2018-1-20,194.38,214.59,194.38,211.02
2018-1-19,191.19,202.07,186.94,192.96
2018-1-18,186.95,207.02,176.83,192.84
2018-1-17,190.15,197.79,141.01,186.52
2018-1-16,232.82,232.82,152.29,188.33
2018-1-15,237.29,245.0,232.77,232.77
2018-1-14,260.58,270.85,234.27,238.68
2018-1-13,236.88,263.19,236.88,259.19
2018-1-12,229.79,243.59,224.82,236.86
2018-1-11,251.52,255.05,223.0,229.37
2018-1-10,248.07,251.05,233.86,250.52
2018-1-9,254.61,258.5,240.18,247.04
2018-1-8,287.73,289.07,237.66,255.76
2018-1-7,296.05,305.53,281.93,288.45
2018-1-6,249.77,323.12,249.41,296.45
2018-1-5,241.03,256.15,237.88,249.27
2018-1-4,245.47,245.47,227.01,241.37
2018-1-3,255.69,260.74,243.13,245.37
2018-1-2,228.99,263.63,228.99,255.68
2018-1-1,231.67,236.63,222.2,229.03
