1/16/2016,,3,51,52,61,64,6
1/20/2016,,5,39,44,47,69,24
1/23/2016,,22,32,34,40,69,19
1/27/2016,,3,12,40,52,67,21
1/30/2016,,5,12,16,31,43,18
2/3/2016,,26,28,31,60,67,23
2/6/2016,,4,13,31,36,52,8
2/10/2016,,2,3,40,50,62,5
2/13/2016,,7,15,18,19,36,20
2/17/2016,,7,17,27,29,40,25
2/20/2016,,11,12,15,16,54,25
2/24/2016,,21,31,64,65,67,5
2/27/2016,,10,11,21,22,53,18
3/2/2016,,12,13,44,52,62,6
3/5/2016,,3,27,34,59,69,19
3/9/2016,,14,23,32,34,68,3
3/12/2016,,11,28,50,57,62,23
3/16/2016,,10,12,13,46,50,21
3/19/2016,,11,23,43,54,60,3
3/23/2016,,5,8,15,22,49,25
3/26/2016,,11,23,42,52,68,6
3/30/2016,,24,44,53,55,63,19
4/2/2016,,9,28,30,40,61,3
4/6/2016,,4,28,49,60,65,25
4/9/2016,,14,22,23,41,61,9
4/13/2016,,30,33,35,38,64,22
4/16/2016,,3,18,25,32,51,3
4/20/2016,,12,25,30,52,62,8
4/23/2016,,19,35,46,59,62,13
4/27/2016,,2,25,33,39,64,17
4/30/2016,,3,12,16,32,34,14
5/4/2016,,30,47,57,66,69,3
5/7/2016,,5,25,26,44,66,9
5/11/2016,,20,32,52,66,69,23
5/14/2016,,13,27,47,64,65,9
5/18/2016,,23,25,39,54,67,11
5/21/2016,,5,7,9,23,32,26
5/25/2016,,11,24,41,59,64,15
5/28/2016,,6,33,34,58,59,12
6/1/2016,,23,30,33,40,69,12
6/4/2016,,16,20,22,43,64,17
6/8/2016,,12,25,37,60,69,20
6/11/2016,,20,27,36,41,58,7
6/15/2016,,4,22,24,31,33,10
6/18/2016,,2,23,41,53,63,11
6/22/2016,,14,40,42,43,52,17
6/25/2016,,3,27,36,56,69,25
6/29/2016,,23,29,37,60,64,6
7/2/2016,,10,34,39,59,63,4
7/6/2016,,2,24,31,57,66,18
7/9/2016,,10,28,32,61,64,12
7/13/2016,,3,15,29,54,57,10
7/16/2016,,11,17,40,50,62,26
7/20/2016,,6,25,35,58,66,5
7/23/2016,,5,7,23,35,39,11
7/27/2016,,10,47,50,65,68,24
7/30/2016,,11,17,21,23,32,5
8/3/2016,,9,11,27,66,67,2
8/6/2016,,20,33,36,47,52,12
8/10/2016,,23,56,61,64,67,12
8/13/2016,,38,44,60,64,69,6
8/17/2016,,33,44,49,50,52,8
8/20/2016,,3,6,21,60,68,24
8/24/2016,,9,11,25,64,65,16
8/27/2016,,4,32,48,49,63,20
8/31/2016,,5,10,24,56,61,12
9/3/2016,,7,39,50,59,67,25
9/7/2016,,22,23,29,33,55,21
9/10/2016,,3,17,49,55,68,8
9/14/2016,,10,11,23,28,31,14
9/17/2016,,9,19,51,55,62,4
9/21/2016,,1,28,63,67,69,17
9/24/2016,,7,15,20,29,41,22
9/28/2016,,30,38,52,53,62,1
10/1/2016,,2,12,50,61,64,1
10/5/2016,,8,18,27,29,60,15
10/8/2016,,3,54,61,64,68,9
10/12/2016,,16,30,34,37,44,16
10/15/2016,,23,49,57,64,67,20
10/19/2016,,10,16,38,43,63,23
10/22/2016,,1,28,33,55,56,22
10/26/2016,,2,3,16,48,56,24
10/29/2016,,19,20,21,42,48,23
11/2/2016,,13,18,37,54,61,5
11/5/2016,,21,31,50,51,69,8
11/9/2016,,1,25,28,31,54,2
11/12/2016,,8,17,20,27,52,24
11/16/2016,,28,41,61,63,65,7
11/19/2016,,16,24,28,43,61,21
11/23/2016,,7,32,41,47,61,3
11/26/2016,,17,19,21,37,44,16
11/30/2016,,3,14,18,25,45,7
12/3/2016,,8,10,26,27,33,22
12/7/2016,,41,48,49,53,64,20
12/10/2016,,12,21,32,44,66,15
12/14/2016,,18,26,37,39,66,15
12/17/2016,,1,8,16,40,48,10
12/21/2016,,25,33,40,54,68,3
12/24/2016,,28,38,42,51,52,21
12/28/2016,,16,23,30,44,58,4
12/31/2016,,1,3,28,57,67,9
1/4/2017,,16,17,29,41,42,4
1/7/2017,,3,12,35,37,63,10
1/11/2017,,1,3,13,16,43,24
1/14/2017,,23,55,59,64,69,13
1/18/2017,,17,25,29,31,37,6
1/21/2017,,23,25,45,52,67,2
1/25/2017,,18,28,62,66,68,22
1/28/2017,,12,20,39,49,69,17
2/1/2017,,9,43,57,60,64,10
2/4/2017,,6,13,16,17,52,25
2/8/2017,,14,20,42,49,66,5
2/11/2017,,5,9,17,37,64,2
2/15/2017,,5,28,33,38,42,19
2/18/2017,,3,7,9,31,33,20
2/22/2017,,10,13,28,52,61,2
2/25/2017,,6,32,47,62,65,19
3/1/2017,,10,16,40,52,55,17
3/4/2017,,2,18,19,22,63,19
3/8/2017,,23,33,42,46,59,4
3/11/2017,,1,26,41,50,57,11
3/15/2017,,16,30,41,48,53,16
3/18/2017,,13,25,44,54,67,5
3/22/2017,,2,9,27,29,42,9
3/25/2017,,18,31,32,45,48,16
3/29/2017,,8,15,31,36,62,11
4/1/2017,,9,32,36,44,65,1
4/5/2017,,8,20,46,53,54,13
4/8/2017,,23,36,51,53,60,15
4/12/2017,,8,14,61,63,68,24
4/15/2017,,5,22,26,45,61,13
4/19/2017,,1,19,37,40,52,15
4/22/2017,,21,39,41,48,63,6
4/26/2017,,1,15,18,26,51,26
4/29/2017,,22,23,24,45,62,5
5/3/2017,,17,18,49,59,66,9
5/6/2017,,11,21,31,41,59,21
5/10/2017,,29,31,46,56,62,8
5/13/2017,,17,20,32,63,68,19
5/17/2017,,4,11,39,45,48,9
5/20/2017,,5,22,45,47,54,3
5/24/2017,,28,32,33,38,62,15
5/27/2017,,5,10,28,55,67,9
5/31/2017,,4,33,39,46,60,6
6/3/2017,,3,9,21,41,54,25
6/7/2017,,5,21,57,66,69,13
6/10/2017,,20,26,32,38,58,3
6/14/2017,,5,22,43,57,63,24
6/17/2017,,10,13,32,53,62,21
6/21/2017,,14,46,61,65,68,13
6/24/2017,,10,22,32,36,58,10
6/28/2017,,29,37,46,53,68,8
7/1/2017,,19,42,45,48,53,16
7/5/2017,,4,9,16,54,68,21
7/8/2017,,8,10,29,40,59,26
7/12/2017,,1,2,18,23,61,9
7/15/2017,,9,40,63,64,66,17
7/19/2017,,50,51,59,61,63,4
7/22/2017,,5,32,44,53,60,9
7/26/2017,,7,19,21,42,69,12
7/29/2017,,1,28,40,45,48,12
8/2/2017,,1,16,54,63,69,18
8/5/2017,,11,21,28,33,45,11
8/9/2017,,12,30,36,47,62,9
8/12/2017,,20,24,26,35,49,19
8/16/2017,,9,15,43,60,64,4
8/19/2017,,17,19,39,43,68,13
8/23/2017,,6,7,16,23,26,4
8/26/2017,,7,15,32,38,66,15
8/30/2017,,19,28,43,67,69,7
9/2/2017,,6,21,41,52,62,26
9/6/2017,,8,14,32,58,67,17
9/9/2017,,6,20,29,57,59,22
9/13/2017,,17,24,35,57,63,19
9/16/2017,,17,18,24,25,31,24
9/20/2017,,39,48,53,67,68,26
9/23/2017,,24,45,55,56,57,19
9/27/2017,,8,10,21,23,25,22
9/30/2017,,8,12,25,41,64,15
10/4/2017,,22,23,62,63,66,24
10/7/2017,,10,49,61,63,65,7
10/11/2017,,1,3,13,19,69,23
10/14/2017,,32,37,56,66,69,11
10/18/2017,,30,49,54,66,69,8
10/21/2017,,14,41,42,45,69,4
10/25/2017,,18,22,29,54,57,8
