len1,len2,len3,len4,len5,len6,len7
20.28687521,27.59799958,53.77084065,55.11758931,27.96623285,1.728292787,1.79988652
27.59799958,53.77084065,55.11758931,27.96623285,1.728292787,1.79988652,2.235948288
53.77084065,55.11758931,27.96623285,1.728292787,1.79988652,2.235948288,3.178909297
55.11758931,27.96623285,1.728292787,1.79988652,2.235948288,3.178909297,12.40842147
27.96623285,1.728292787,1.79988652,2.235948288,3.178909297,12.40842147,32.45502657
1.728292787,1.79988652,2.235948288,3.178909297,12.40842147,32.45502657,41.08874741
1.79988652,2.235948288,3.178909297,12.40842147,32.45502657,41.08874741,21.71321866
2.235948288,3.178909297,12.40842147,32.45502657,41.08874741,21.71321866,34.88026877
3.178909297,12.40842147,32.45502657,41.08874741,21.71321866,34.88026877,62.8373019
12.40842147,32.45502657,41.08874741,21.71321866,34.88026877,62.8373019,63.58831874
32.45502657,41.08874741,21.71321866,34.88026877,62.8373019,63.58831874,42.44953548
41.08874741,21.71321866,34.88026877,62.8373019,63.58831874,42.44953548,16.23378567
21.71321866,34.88026877,62.8373019,63.58831874,42.44953548,16.23378567,33.17134946
34.88026877,62.8373019,63.58831874,42.44953548,16.23378567,33.17134946,61.32771815
62.8373019,63.58831874,42.44953548,16.23378567,33.17134946,61.32771815,59.5978358
63.58831874,42.44953548,16.23378567,33.17134946,61.32771815,59.5978358,29.43052371
42.44953548,16.23378567,33.17134946,61.32771815,59.5978358,29.43052371,24.85637802
16.23378567,33.17134946,61.32771815,59.5978358,29.43052371,24.85637802,74.34390167
33.17134946,61.32771815,59.5978358,29.43052371,24.85637802,74.34390167,100.7379574
61.32771815,59.5978358,29.43052371,24.85637802,74.34390167,100.7379574,64.1979559
59.5978358,29.43052371,24.85637802,74.34390167,100.7379574,64.1979559,23.90324065
29.43052371,24.85637802,74.34390167,100.7379574,64.1979559,23.90324065,35.5331171
24.85637802,74.34390167,100.7379574,64.1979559,23.90324065,35.5331171,25.72815608
74.34390167,100.7379574,64.1979559,23.90324065,35.5331171,25.72815608,78.67774639
100.7379574,64.1979559,23.90324065,35.5331171,25.72815608,78.67774639,100.7505279
64.1979559,23.90324065,35.5331171,25.72815608,78.67774639,100.7505279,52.98604955
23.90324065,35.5331171,25.72815608,78.67774639,100.7505279,52.98604955,93.36843903
