lendiff1,lendiff2,lendiff3,lendiff4,lendiff5,lendiff6,lendiff7,lendiff8,lendiff9,lendiff10,lendiff11,lendiff12
-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178
20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506
-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068
-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451
26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685
-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016
41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785
-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148
11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766
-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409
31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831
-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213
36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367
-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714
-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127
73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357
-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505
