ratio1,len1,len2,len3,len4,len5,len6,len7,len8
0.625069605,14.42850176,-2.813669846,27.52447498,-0.562578739,52.50695711,-0.41848978,-0.097023098,5.460802117
0.72396394,19.51861908,2.677390727,21.22613744,2.992584224,23.08303209,2.245243799,0.092323818,2.710549658
0.702079933,8.661380392,1.408183193,15.28127647,-1.454801464,26.96076143,-0.716126499,0.048558041,3.789524479
0.881657352,8.346430496,0.428981822,10.14730389,-3.113236439,12.33674399,-2.660646621,0.014792477,2.96234429
0.236406446,11.77760928,1.032362295,10.55915209,1.629985129,9.466750865,1.896135619,0.0355987,1.588375729
0.572670212,45.34863213,-0.753952869,47.53144417,-1.133687195,49.81932372,-0.477909633,-0.025998375,5.866567752
1.042502895,43.58178898,3.120205772,58.74654447,-2.906023131,79.18804087,-2.628834188,0.107593302,2.960998003
0.68013013,28.24957031,1.53313541,34.36527433,2.477592258,41.80495728,-2.242797728,0.052866738,1.621714156
0.870964668,27.83139121,1.170957502,33.99987917,1.317516904,41.53553716,1.880307187,0.040377845,2.181052353
0.491930812,28.70209647,-0.649391855,30.28475043,-0.921611757,31.95467305,-0.532785077,-0.022392823,6.718535483
0.795840037,32.14648962,2.973706411,43.30834369,3.104438253,58.34579936,-2.690304141,0.1025416,3.64607758
0.41565969,12.97409446,1.422248004,22.89245733,1.502047265,40.39315454,1.887679475,0.049043035,2.457355591
0.475243431,28.29982036,-0.729691996,29.72086277,-1.072842106,31.21326117,-0.640981538,-0.025161793,6.066875579
0.670414148,33.00159671,2.946453129,44.33035963,2.991068678,59.54805163,2.338519085,0.101601832,3.904108685
0.584438165,16.42047424,-1.420106919,28.43077765,-1.426178308,49.22568656,-0.852183214,-0.048969204,4.456052211
0.374658428,13.40885587,2.827774907,19.4097269,2.841105609,28.09617033,2.357685533,0.09750948,5.111259921
0.515221951,22.58341985,-1.201211527,28.42974488,-1.269202631,35.78954823,-0.6029471,-0.041421087,4.762674695
0.851609515,21.77164188,2.973353341,30.89180368,-3.044542688,43.83241006,-2.60790576,0.102529426,3.664586331
0.280330115,15.79764637,1.355358987,20.09655113,1.790486103,25.56528725,1.935807704,0.046736517,2.01040254
0.458659137,46.18040619,-0.876177349,51.01409544,-1.144375489,56.3537255,-0.662105231,-0.030213012,5.479065668
0.684718432,56.39913613,2.924530504,75.3563883,3.008778953,100.685678,2.285234773,0.100845879,3.927854893
0.946117808,28.36976451,1.413250253,48.34015983,-1.45743501,82.36836266,-0.885268887,0.048732767,4.167508602
0.195637847,7.494438122,0.439371475,14.99079952,2.794326944,29.98544609,2.395054487,0.015150741,4.282492625
0.562984359,31.62610609,-0.978833754,34.80694948,-1.187692511,38.307711,-0.486064664,-0.033752888,5.172314067
0.935730153,30.01985736,3.094935298,41.06567912,-2.88841908,56.17581661,-2.497864014,0.106721907,2.996331122
0.443364152,23.56442938,1.496090937,27.49523677,2.286605478,32.0817463,-2.34250684,0.051589343,1.921961356
0.746769937,36.07515497,-1.108273689,43.78771459,1.241014695,53.14915349,1.894540222,-0.038216334,4.367850225
